"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Tyronn Lue",182.88,51,11,1.6,3.1,-2.9,"2005-06"
"T.J. Ford",182.88,72,12.2,4.3,6.6,-0.4,"2005-06"
"Tayshaun Prince",205.74,82,14.1,4.2,2.3,12,"2005-06"
"Terence Morris",205.74,22,1.6,1.7,0.2,-0.8,"2005-06"
"Theo Ratliff",208.28,55,4.9,5.1,0.5,-8.9,"2005-06"
"Tim Duncan",210.82,80,18.6,11,3.2,9.5,"2005-06"
"Tim Thomas",208.28,29,10.3,4.5,0.7,0.1,"2005-06"
"Toni Kukoc",210.82,65,4.9,2.3,2.1,-4.3,"2005-06"
"Tony Allen",193.04,51,7.2,2.2,1.3,-2.6,"2005-06"
"Tony Battie",210.82,82,7.9,5.6,0.6,-2.1,"2005-06"
"Viktor Khryapa",205.74,69,5.8,4.4,1.3,-11.1,"2005-06"
"Trenton Hassell",195.58,77,9.2,2.8,2.6,-2.1,"2005-06"
"Travis Outlaw",203.2,69,5.8,2.7,0.5,-12.5,"2005-06"
"Travis Diener",185.42,23,3.8,0.9,0.7,-13.7,"2005-06"
"Vin Baker",210.82,8,3.4,2.4,0.5,7.2,"2005-06"
"Tracy McGrady",203.2,47,24.4,6.5,4.8,1.1,"2005-06"
"Troy Hudson",185.42,36,9.5,1.2,2.9,-2.2,"2005-06"
"Tony Parker",187.96,80,18.9,3.3,5.8,10.6,"2005-06"
"Udonis Haslem",203.2,81,9.3,7.8,1.2,6.8,"2005-06"
"Tony Delk",187.96,24,7.6,2.2,1.4,-2.6,"2005-06"
"Stromile Swift",205.74,66,8.9,4.4,0.4,-3.9,"2005-06"
"Troy Murphy",210.82,74,14,10,1.4,-2.9,"2005-06"
"Tyson Chandler",215.9,79,5.3,9,1,3.2,"2005-06"
"Trevor Ariza",203.2,57,4.6,3.8,1.1,0.6,"2005-06"
"Shandon Anderson",198.12,48,2.6,1.7,0.6,2.2,"2005-06"
"Steve Nash",190.5,79,18.8,4.2,10.5,8.8,"2005-06"
"Scott Padgett",205.74,62,3.4,2.7,0.7,-7.2,"2005-06"
"Scot Pollard",210.82,45,3.8,4.8,0.5,4.5,"2005-06"
"Sasha Vujacic",200.66,82,3.9,1.9,1.7,3.1,"2005-06"
"Sasha Pavlovic",200.66,53,4.5,1.5,0.5,-0.1,"2005-06"
"Sarunas Jasikevicius",193.04,75,7.3,2,3,0.8,"2005-06"
"Samuel Dalembert",210.82,66,7.3,8.2,0.4,-1.1,"2005-06"
"Samaki Walker",205.74,7,0.3,0.4,0,-31.2,"2005-06"
"Sean Marks",208.28,25,3.2,1.7,0.3,-8.8,"2005-06"
"Sam Cassell",190.5,78,17.2,3.7,6.3,3.9,"2005-06"
"Ryan Gomes",200.66,61,7.6,4.9,1,0,"2005-06"
"Ryan Bowen",205.74,68,1.3,1.3,0.4,-5,"2005-06"
"Ruben Patterson",195.58,71,12.1,3.4,1.8,-4.9,"2005-06"
"Royal Ivey",190.5,73,3.6,1.3,1,-7,"2005-06"
"Ronnie Price",187.96,29,2.1,0.5,0.4,-8,"2005-06"
"Vince Carter",198.12,79,24.2,5.8,4.3,5.7,"2005-06"
"Ronny Turiaf",208.28,23,2,1.6,0.3,-0.9,"2005-06"
"Salim Stoudamire",185.42,61,9.7,1.9,1.2,-5.4,"2005-06"
"Steven Hunter",213.36,69,6.1,3.9,0.2,-1.7,"2005-06"
"Sean May",205.74,23,8.2,4.7,1,-3.1,"2005-06"
"Sergei Monia",203.2,26,3,2,0.7,-24.5,"2005-06"
"Steve Francis",190.5,70,14.4,4.1,4.9,-5.2,"2005-06"
"Steve Blake",190.5,68,8.2,2.1,4.5,-11.8,"2005-06"
"Stephon Marbury",187.96,60,16.3,2.9,6.4,-7.4,"2005-06"
"Stephen Jackson",203.2,81,16.4,3.9,2.8,-0.1,"2005-06"
"Stephen Graham",198.12,22,2.6,1.2,0.3,5.6,"2005-06"
"Stacey Augmon",203.2,36,2,1.5,0.6,8,"2005-06"
"Speedy Claxton",180.34,71,12.3,2.7,4.8,0.1,"2005-06"
"Sebastian Telfair",182.88,68,9.5,1.8,3.6,-12.2,"2005-06"
"Smush Parker",193.04,82,11.5,3.3,3.7,3,"2005-06"
"Shawn Marion",200.66,81,21.8,11.8,1.8,7.1,"2005-06"
"Shavlik Randolph",208.28,57,2.3,2.3,0.3,4.4,"2005-06"
"Shaun Livingston",200.66,61,5.8,3,4.5,-0.3,"2005-06"
"Sharrod Ford",205.74,3,1.3,1,0,-24.7,"2005-06"
"Shareef Abdur-Rahim",205.74,72,12.3,5,2.1,3.9,"2005-06"
