"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Jared Dudley",198.12,45,1.5,1.2,0.6,3.3,"2019-20"
"Jabari Parker",203.2,38,14,5.6,1.8,-4.9,"2019-20"
"James Johnson",200.66,32,8.4,3.7,2.3,-4.6,"2019-20"
"James Harden",195.58,68,34.3,6.6,7.5,5.8,"2019-20"
"James Ennis III",198.12,69,6.6,3.6,0.9,0.1,"2019-20"
"Jamal Murray",193.04,59,18.5,4,4.8,5.3,"2019-20"
"Jamal Crawford",195.58,1,5,0,3,26.7,"2019-20"
"Jalen McDaniels",208.28,16,5.6,4.1,0.8,-3.6,"2019-20"
"Jalen Brunson",185.42,57,8.2,2.4,3.3,7.6,"2019-20"
"Jakob Poeltl",215.9,66,5.6,5.7,1.8,5.7,"2019-20"
"Jake Layman",203.2,23,9.1,2.5,0.7,2,"2019-20"
"JaMychal Green",203.2,63,6.8,6.2,0.8,5,"2019-20"
"Jahlil Okafor",208.28,30,8.1,4.2,1.2,-10.1,"2019-20"
"Jae Crowder",198.12,65,10.5,5.9,2.5,-2.9,"2019-20"
"JaVale McGee",213.36,68,6.6,5.7,0.5,5.8,"2019-20"
"Jacob Evans",193.04,29,4.4,1.4,1.1,-11,"2019-20"
"Jalen Lecque",193.04,5,2,0.4,0.4,-20.2,"2019-20"
"Jared Harper",177.8,3,0.7,0,0,-61.1,"2019-20"
"Jeff Green",203.2,48,9.4,2.8,1,-3.8,"2019-20"
"Jarred Vanderbilt",205.74,11,1.1,0.8,0.2,-23.4,"2019-20"
"Jeremy Pargo",187.96,3,8.3,1,2.7,2.4,"2019-20"
"Jeremy Lamb",195.58,46,12.5,4.3,2.1,-0.9,"2019-20"
"JaKarr Sampson",200.66,34,4.6,2.6,0.6,1.9,"2019-20"
"Jerian Grant",193.04,6,4.5,1,1.5,-3.6,"2019-20"
"Jeremiah Martin",187.96,9,7.1,1.1,2,-8.4,"2019-20"
"Jerami Grant",203.2,71,12,3.5,1.2,-2.1,"2019-20"
"Jeff Teague",190.5,59,10.9,2.4,5.2,-5.7,"2019-20"
"Jayson Tatum",203.2,66,23.4,7,3,10.6,"2019-20"
"Jaylen Nowell",193.04,15,3.8,0.9,1.3,1.2,"2019-20"
"Jaylen Hoard",203.2,13,2.9,2.5,0.3,3,"2019-20"
"Jaylen Brown",198.12,57,20.3,6.4,2.1,6.9,"2019-20"
"Jaxson Hayes",210.82,64,7.4,4,0.9,-1.8,"2019-20"
"Javonte Green",193.04,48,3.4,1.9,0.5,-2.6,"2019-20"
"Jarrod Uthoff",205.74,7,2.7,0.9,0,8.1,"2019-20"
"Jarrett Culver",198.12,63,9.2,3.4,1.7,-3.3,"2019-20"
"Jarrett Allen",210.82,70,11.1,9.6,1.6,0.9,"2019-20"
"Jarrell Brantley",195.58,9,2.7,2.2,1.2,-17,"2019-20"
"Jaren Jackson Jr.",210.82,57,17.4,4.6,1.4,-2.6,"2019-20"
"Ja Morant",190.5,67,17.8,3.9,7.3,-0.6,"2019-20"
"Gary Payton II",190.5,29,3.9,2.8,1.7,-14.3,"2019-20"
"JJ Redick",190.5,60,15.3,2.5,2,-1,"2019-20"
"Goga Bitadze",210.82,54,3.2,2,0.4,-1.4,"2019-20"
"Glenn Robinson III",198.12,62,11.7,4.4,1.5,-7.8,"2019-20"
"Giannis Antetokounmpo",210.82,63,29.5,13.6,5.6,15.4,"2019-20"
"Georges Niang",200.66,66,5.9,1.9,0.7,-1.1,"2019-20"
"George Hill",190.5,59,9.4,3,3.1,10.6,"2019-20"
"Gary Trent Jr.",195.58,61,8.9,1.6,1,-1.4,"2019-20"
"Gary Harris",193.04,56,10.4,2.9,2.1,3.4,"2019-20"
"Goran Dragic",190.5,59,16.2,3.2,5.1,3.5,"2019-20"
"Gary Clark",198.12,42,3.7,2.6,0.4,-5.1,"2019-20"
"Garrett Temple",195.58,62,10.3,3.5,2.5,-1.4,"2019-20"
"Gabe Vincent",190.5,9,2.4,0.6,0.7,-15.9,"2019-20"
"Furkan Korkmaz",200.66,72,9.8,2.3,1.1,2.7,"2019-20"
"Fred VanVleet",185.42,54,17.6,3.8,6.6,4.8,"2019-20"
"Jerome Robinson",193.04,63,5.1,2,1.4,-1,"2019-20"
"Frank Mason",180.34,9,6.9,2.1,3.2,-1.8,"2019-20"
"Frank Ntilikina",193.04,57,6.3,2.1,3,-3.9,"2019-20"
"Garrison Mathews",195.58,18,5.4,1.3,0.6,7.1,"2019-20"
"Gordon Hayward",200.66,52,17.5,6.7,4.1,8.5,"2019-20"
"Gorgui Dieng",208.28,63,7.4,5.6,1.2,-3.6,"2019-20"
"Grant Williams",198.12,69,3.4,2.6,1,6.3,"2019-20"
"J.P. Macura",193.04,1,0,0,0,150,"2019-20"
"J.J. Barea",177.8,29,7.7,1.8,3.9,2.9,"2019-20"
"Ivica Zubac",213.36,72,8.3,7.5,1.1,8.9,"2019-20"
"Ish Smith",182.88,68,10.9,3.2,4.9,-3.9,"2019-20"
"Isaiah Thomas",175.26,40,12.2,1.7,3.7,-10.4,"2019-20"
